L_total,sigma,avg,std_error
15,0.01,0.9965341424942017,4.154242910100851e-05
15,0.01473684210526316,0.9923516488075257,9.572705846340685e-05
15,0.019473684210526317,0.9867730140686035,0.00016531099841336896
15,0.024210526315789474,0.9794745469093322,0.00029189656785964964
15,0.02894736842105263,0.9717259860038757,0.00037343053155314726
15,0.03368421052631579,0.9615604174137116,0.00046921283592880225
15,0.03842105263157895,0.9500717878341675,0.0006490539767174613
15,0.04315789473684211,0.9376050794124603,0.0006519650805474923
15,0.04789473684210527,0.9234224140644074,0.0009216215273522811
15,0.052631578947368425,0.9089664435386657,0.0012635964508172703
15,0.05736842105263158,0.8910631120204926,0.001442708428550124
15,0.06210526315789474,0.8771176338195801,0.001458212491504374
15,0.0668421052631579,0.8573941099643707,0.0016115162737472529
15,0.07157894736842106,0.8401196694374085,0.001664403616431441
15,0.07631578947368421,0.8171914565563202,0.0021463470536560677
15,0.08105263157894736,0.7986614537239075,0.0018240923711445745
15,0.08578947368421053,0.7716106951236725,0.0025798214050297705
15,0.09052631578947369,0.7516159355640412,0.00261564874829038
15,0.09526315789473684,0.732459123134613,0.0029037465793439778
15,0.1,0.7158005344867706,0.0033053077586995875
20,0.01,0.9953266894817352,5.5157518677857284e-05
20,0.01473684210526316,0.9900862228870392,0.00011917156713880601
20,0.019473684210526317,0.9827835357189179,0.0001740120759645176
20,0.024210526315789474,0.9733621549606323,0.00028187767700125766
20,0.02894736842105263,0.9620490503311158,0.00042268365759199803
20,0.03368421052631579,0.949110279083252,0.000497293240466488
20,0.03842105263157895,0.9341535091400146,0.0007235580106162667
20,0.04315789473684211,0.918574869632721,0.0008296010915279567
20,0.04789473684210527,0.9001734471321106,0.000946672557707124
20,0.052631578947368425,0.8816509568691253,0.0012124557741569437
20,0.05736842105263158,0.8605733478069305,0.0012114818064129953
20,0.06210526315789474,0.8415654969215393,0.001300101794223488
20,0.0668421052631579,0.8180257451534271,0.0018882827163956967
20,0.07157894736842106,0.7894827580451965,0.0019514015315528707
20,0.07631578947368421,0.7705711209774018,0.002327809370949498
20,0.08105263157894736,0.7451432991027832,0.002132304243415348
20,0.08578947368421053,0.7172161388397217,0.0028376092690043805
20,0.09052631578947369,0.6906948614120484,0.002976669290283255
20,0.09526315789473684,0.669215282201767,0.00253043678456844
20,0.1,0.6419565629959106,0.0032843149475320307
25,0.01,0.9943010127544403,5.468808162912063e-05
25,0.01473684210526316,0.9877440142631531,0.00011819607852563743
25,0.019473684210526317,0.9783549964427948,0.00023962490025000328
25,0.024210526315789474,0.9665446436405182,0.0003157401711074694
25,0.02894736842105263,0.952866622209549,0.0003960895520316818
25,0.03368421052631579,0.9374545085430145,0.0005704565293953199
25,0.03842105263157895,0.9191318571567535,0.0006760207144070073
25,0.04315789473684211,0.9000772047042847,0.0008009251512362496
25,0.04789473684210527,0.878042322397232,0.001250026365326045
25,0.052631578947368425,0.8537996852397919,0.0012499599664653998
25,0.05736842105263158,0.8299415099620819,0.0016902737246589587
25,0.06210526315789474,0.7993738615512848,0.0014896380846842199
25,0.0668421052631579,0.7740843939781189,0.001437330447986709
25,0.07157894736842106,0.7467880928516388,0.0022032423195722365
25,0.07631578947368421,0.7197360122203826,0.0023097620082936933
25,0.08105263157894736,0.6847393703460694,0.00265995606907243
25,0.08578947368421053,0.6638438892364502,0.002512416031207063
25,0.09052631578947369,0.6290490770339966,0.003320920678861141
25,0.09526315789473684,0.5982594227790833,0.002509173925590438
25,0.1,0.5677793967723846,0.003146024857200304
30,0.01,0.9930682241916656,6.112261593936765e-05
30,0.01473684210526316,0.9851354360580444,0.00012522109176072148
30,0.019473684210526317,0.9743900895118713,0.00018368321019182764
30,0.024210526315789474,0.9606256365776062,0.00038633930847938584
30,0.02894736842105263,0.9445815813541413,0.0004769219495881393
30,0.03368421052631579,0.9254644358158112,0.0006165215375830168
30,0.03842105263157895,0.9037367594242096,0.000799609129890275
30,0.04315789473684211,0.882749366760254,0.0010315237442411807
30,0.04789473684210527,0.8568075168132782,0.0009843618879731824
30,0.052631578947368425,0.828332073688507,0.00141738156981437
30,0.05736842105263158,0.7988918912410736,0.0014524312516685691
30,0.06210526315789474,0.7709086513519288,0.0018642908444231078
30,0.0668421052631579,0.7393088686466217,0.001829279343105334
30,0.07157894736842106,0.7076464784145355,0.002055559329636919
30,0.07631578947368421,0.6754235446453094,0.0023817452802698882
30,0.08105263157894736,0.6417932069301605,0.0024747511288187095
30,0.08578947368421053,0.6116979861259461,0.002963383067889027
30,0.09052631578947369,0.5763708806037903,0.0033460481551034547
30,0.09526315789473684,0.5407141703367233,0.003074446806757197
30,0.1,0.5061931598186493,0.002886117312693031
